,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
0,2020/2021,Bayern,Schalke,3-0,5-0,8-0,Unknown,18:30,3,0,5,0,8,0,3,5,8,Home
1,2020/2021,M'gladbach,Hoffenheim,1-0,0-2,1-2,Unknown,14:30,1,0,0,2,1,2,1,2,3,Away
2,2020/2021,Mainz,W. Bremen,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
3,2020/2021,Leverkusen,Bayern,1-1,0-1,1-2,Unknown,17:30,1,1,0,1,1,2,2,1,3,Away
4,2020/2021,Augsburg,Frankfurt,0-0,0-2,0-2,Unknown,14:30,0,0,0,2,0,2,0,2,2,Away
5,2020/2021,RB Leipzig,Köln,0-0,0-0,0-0,Unknown,14:30,0,0,0,0,0,0,0,0,0,Draw
6,2020/2021,Schalke,Bielefeld,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
7,2020/2021,Union Berlin,Dortmund,0-0,2-1,2-1,Unknown,19:30,0,0,2,1,2,1,0,3,3,Home
8,2020/2021,Bielefeld,Augsburg,0-0,0-1,0-1,Unknown,19:30,0,0,0,1,0,1,0,1,1,Away
9,2020/2021,Köln,Leverkusen,0-2,0-2,0-4,Unknown,19:30,0,2,0,2,0,4,2,2,4,Away
10,2020/2021,Dortmund,RB Leipzig,1-0,2-2,3-2,Unknown,13:30,1,0,2,2,3,2,1,4,5,Home
11,2020/2021,Union Berlin,Frankfurt,2-2,1-1,3-3,Unknown,14:30,2,2,1,1,3,3,4,2,6,Draw
12,2020/2021,Bayern,Wolfsburg,1-1,1-0,2-1,Unknown,19:30,1,1,1,0,2,1,2,1,3,Home
13,2020/2021,Schalke,Freiburg,0-0,0-2,0-2,Unknown,17:30,0,0,0,2,0,2,0,2,2,Away
14,2020/2021,Hoffenheim,RB Leipzig,0-0,0-1,0-1,Unknown,19:30,0,0,0,1,0,1,0,1,1,Away
15,2020/2021,Hertha,Mainz,0-0,0-0,0-0,Unknown,19:30,0,0,0,0,0,0,0,0,0,Draw
16,2022/2023,Frankfurt,Bayern,0-5,1-1,1-6,"51,500",18:30,0,5,1,1,1,6,5,2,7,Away
17,2022/2023,Dortmund,Mainz,0-2,2-0,2-2,"81,365",13:30,0,2,2,0,2,2,2,2,4,Draw
18,2022/2023,Frankfurt,Freiburg,0-1,2-0,2-1,"50,500",13:30,0,1,2,0,2,1,1,2,3,Home
19,2022/2023,Köln,Bayern,0-1,1-1,1-2,"50,000",13:30,0,1,1,1,1,2,1,2,3,Away
20,2022/2023,RB Leipzig,Schalke,2-1,2-1,4-2,"47,069",13:30,2,1,2,1,4,2,3,3,6,Home
