,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
0,2020/2021,Den Haag,Venlo,0-1,1-3,1-4,Unknown,19:00,0,1,1,3,1,4,1,4,5,Away
1,2020/2021,Heerenveen,Sittard,0-3,1-0,1-3,Unknown,13:30,0,3,1,0,1,3,3,1,4,Away
2,2020/2021,Heerenveen,Willem II,1-0,1-0,2-0,"4,000",16:45,1,0,1,0,2,0,1,1,2,Home
3,2020/2021,Venlo,Willem II,0-1,2-0,2-1,Unknown,13:30,0,1,2,0,2,1,1,2,3,Home
4,2020/2021,PSV,AZ,0-2,1-1,1-3,Unknown,17:45,0,2,1,1,1,3,2,2,4,Away
5,2020/2021,Vitesse,Utrecht,1-0,0-0,1-0,Unknown,17:45,1,0,0,0,1,0,1,0,1,Home
6,2020/2021,Heracles,Emmen,2-0,2-0,4-0,Unknown,20:00,2,0,2,0,4,0,2,2,4,Home
7,2020/2021,Ajax,PSV,1-2,1-0,2-2,Unknown,15:45,1,2,1,0,2,2,3,1,4,Draw
8,2020/2021,Heracles,Vitesse,0-1,0-1,0-2,Unknown,19:00,0,1,0,1,0,2,1,1,2,Away
9,2020/2021,Sparta,Feyenoord,0-1,0-1,0-2,Unknown,11:15,0,1,0,1,0,2,1,1,2,Away
10,2020/2021,Utrecht,Groningen,1-2,1-0,2-2,Unknown,20:00,1,2,1,0,2,2,3,1,4,Draw
11,2020/2021,Emmen,Twente,0-3,1-1,1-4,Unknown,17:45,0,3,1,1,1,4,3,2,5,Away
12,2022/2023,Twente,Sparta,0-0,1-0,1-0,,12:30,0,0,1,0,1,0,0,1,1,Home
13,2022/2023,Sparta,Utrecht,0-0,0-1,0-1,,16:00,0,0,0,1,0,1,0,1,1,Away
14,2020/2021,Twente,Heracles,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
15,2022/2023,Sparta,Twente,0-0,1-1,1-1,,18:00,0,0,1,1,1,1,0,2,2,Draw
16,2020/2021,RKC,Den Haag,0-1,0-0,0-1,Unknown,15:30,0,1,0,0,0,1,1,0,1,Away
17,2020/2021,Zwolle,AZ,1-0,0-1,1-1,Unknown,19:00,1,0,0,1,1,1,1,1,2,Draw
18,2020/2021,Feyenoord,Heerenveen,0-0,3-0,3-0,Unknown,20:00,0,0,3,0,3,0,0,3,3,Home
19,2022/2023,Twente,Heerenveen,3-0,1-0,4-0,,12:30,3,0,1,0,4,0,3,1,4,Home
20,2022/2023,Utrecht,Sparta,0-2,1-0,1-2,,19:00,0,2,1,0,1,2,2,1,3,Away
21,2022/2023,Heerenveen,Twente,1-1,0-1,1-2,,16:45,1,1,0,1,1,2,2,1,3,Away
22,2022/2023,Cambuur,RKC,2-0,2-0,4-0,"9,600",12:30,2,0,2,0,4,0,2,2,4,Home
23,2022/2023,Sittard,NEC,0-0,1-1,1-1,"10,388",12:30,0,0,1,1,1,1,0,2,2,Draw
24,2022/2023,Groningen,Sparta,0-1,0-4,0-5,Unknown,12:30,0,1,0,4,0,5,1,4,5,Away
