,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
0,2020/2021,Bordeaux,Saint-Étienne,1-1,0-1,1-2,Unknown,20:00,1,1,0,1,1,2,2,1,3,Away
1,2020/2021,Bordeaux,Nantes,0-0,0-0,0-0,Unknown,17:00,0,0,0,0,0,0,0,0,0,Draw
2,2020/2021,Montpellier,Metz,0-0,0-2,0-2,Unknown,18:00,0,0,0,2,0,2,0,2,2,Away
3,2020/2021,Angers,Strasbourg,0-0,0-2,0-2,Unknown,18:00,0,0,0,2,0,2,0,2,2,Away
4,2020/2021,Reims,Nantes,0-1,3-1,3-2,Unknown,18:00,0,1,3,1,3,2,1,4,5,Home
5,2020/2021,Lyon,Brest,0-1,2-1,2-2,Unknown,20:00,0,1,2,1,2,2,1,3,4,Draw
6,2020/2021,PSG,Lorient,0-0,2-0,2-0,Unknown,20:00,0,0,2,0,2,0,0,2,2,Home
7,2020/2021,Nimes,Nice,0-0,0-2,0-2,Unknown,18:00,0,0,0,2,0,2,0,2,2,Away
8,2020/2021,Nantes,Dijon,1-0,0-1,1-1,Unknown,14:00,1,0,0,1,1,1,1,1,2,Draw
9,2020/2021,Dijon,Lille,0-1,0-1,0-2,Unknown,18:00,0,1,0,1,0,2,1,1,2,Away
10,2020/2021,Lorient,Nimes,2-0,1-0,3-0,Unknown,14:00,2,0,1,0,3,0,2,1,3,Home
11,2020/2021,PSG,Lyon,0-1,0-0,0-1,Unknown,20:00,0,1,0,0,0,1,1,0,1,Away
12,2020/2021,Lille,Bordeaux,2-1,0-0,2-1,Unknown,16:00,2,1,0,0,2,1,3,0,3,Home
13,2020/2021,Brest,Reims,1-0,1-1,2-1,Unknown,14:00,1,0,1,1,2,1,1,2,3,Home
14,2020/2021,Nice,Rennais,0-1,0-0,0-1,Unknown,12:00,0,1,0,0,0,1,1,0,1,Away
15,2020/2021,Strasbourg,Metz,0-1,2-1,2-2,Unknown,14:00,0,1,2,1,2,2,1,3,4,Draw
16,2022/2023,Auxerre,Lens,0-1,1-2,1-3,"17,246",19:00,0,1,1,2,1,3,1,3,4,Away
17,2022/2023,Monaco,Toulouse,0-0,1-2,1-2,"5,670",19:00,0,0,1,2,1,2,0,3,3,Away
18,2022/2023,Nantes,Angers,1-0,0-0,1-0,"27,650",19:00,1,0,0,0,1,0,1,0,1,Home
19,2022/2023,Troyes,Lille,0-0,1-1,1-1,"11,006",19:00,0,0,1,1,1,1,0,2,2,Draw
20,2022/2023,Reims,Montpellier,1-0,0-3,1-3,"15,036",19:00,1,0,0,3,1,3,1,3,4,Away
21,2022/2023,Lorient,Strasbourg,2-0,0-1,2-1,"16,351",19:00,2,0,0,1,2,1,2,1,3,Home
22,2022/2023,Ajaccio,Marseille,0-0,1-0,1-0,"9,500",19:00,0,0,1,0,1,0,0,1,1,Home
23,2022/2023,Brest,Rennais,1-2,0-0,1-2,"15,143",19:00,1,2,0,0,1,2,3,0,3,Away
24,2022/2023,Nice,Lyon,3-1,0-0,3-1,"25,243",19:00,3,1,0,0,3,1,4,0,4,Home
25,2022/2023,PSG,Clermont,2-2,0-1,2-3,"47,926",19:00,2,2,0,1,2,3,4,1,5,Away
26,2022/2023,Lens,Ajaccio,3-0,0-0,3-0,"37,601",19:00,3,0,0,0,3,0,3,0,3,Home
27,2022/2023,Angers,Troyes,1-1,1-0,2-1,"7,419",19:00,1,1,1,0,2,1,2,1,3,Home
28,2022/2023,Marseille,Brest,0-0,1-2,1-2,"61,732",19:00,0,0,1,2,1,2,0,3,3,Away
