,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
0,2020/2021,Fulham,Arsenal,0-1,0-2,0-3,Unknown,11:30,0,1,0,2,0,3,1,2,3,Away
1,2020/2021,Newcastle,Fulham,0-1,1-0,1-1,Unknown,20:00,0,1,1,0,1,1,1,1,2,Draw
2,2020/2021,Southampton,Man City,0-1,0-0,0-1,Unknown,15:00,0,1,0,0,0,1,1,0,1,Away
3,2020/2021,Sheffield Utd,Man Utd,1-2,1-1,2-3,Unknown,20:00,1,2,1,1,2,3,3,2,5,Away
4,2020/2021,Everton,Arsenal,2-1,0-0,2-1,Unknown,17:30,2,1,0,0,2,1,3,0,3,Home
5,2020/2021,Crystal Palace,Liverpool,0-3,0-4,0-7,Unknown,12:30,0,3,0,4,0,7,3,4,7,Away
6,2020/2021,Aston Villa,Burnley,0-0,0-0,0-0,Unknown,18:00,0,0,0,0,0,0,0,0,0,Draw
7,2020/2021,West Ham,Crystal Palace,0-1,1-0,1-1,Unknown,20:00,0,1,1,0,1,1,1,1,2,Draw
8,2020/2021,Liverpool,Tottenham,1-1,1-0,2-1,"2,000",20:00,1,1,1,0,2,1,2,1,3,Home
9,2020/2021,Leeds Utd,Newcastle,1-1,4-1,5-2,Unknown,18:00,1,1,4,1,5,2,2,5,7,Home
10,2020/2021,Man City,West Brom,1-1,0-0,1-1,Unknown,20:00,1,1,0,0,1,1,2,0,2,Draw
11,2020/2021,Fulham,Brighton,0-0,0-0,0-0,Unknown,20:00,0,0,0,0,0,0,0,0,0,Draw
12,2020/2021,Leicester City,Brighton,3-0,0-0,3-0,Unknown,19:15,3,0,0,0,3,0,3,0,3,Home
13,2020/2021,Arsenal,Southampton,0-1,1-0,1-1,Unknown,18:00,0,1,1,0,1,1,1,1,2,Draw
14,2022/2023,Crystal Palace,Notts Forest,0-1,1-0,1-1,"25,198",15:30,0,1,1,0,1,1,1,1,2,Draw
15,2020/2021,Leicester City,Everton,0-1,0-1,0-2,Unknown,18:00,0,1,0,1,0,2,1,1,2,Away
16,2020/2021,Wolves,Chelsea,0-0,2-1,2-1,Unknown,18:00,0,0,2,1,2,1,0,3,3,Home
17,2022/2023,Southampton,Liverpool,2-2,2-2,4-4,"31,129",15:30,2,2,2,2,4,4,4,4,8,Draw
18,Brentford - Man City,Brentford,Man City,0-0,1-0,1-0,"17,120",15:30,0,0,1,0,1,0,0,1,1,Home
19,2022/2023,Leeds Utd,Tottenham,0-1,1-3,1-4,"36,871",15:30,0,1,1,3,1,4,1,4,5,Away
20,2022/2023,Leicester City,West Ham,1-0,1-1,2-1,"32,183",15:30,1,0,1,1,2,1,1,2,3,Home
21,2022/2023,Man Utd,Fulham,1-1,1-0,2-1,"73,465",15:30,1,1,1,0,2,1,2,1,3,Home
22,2022/2023,Everton,Bournemouth,0-0,1-0,1-0,"39,201",15:30,0,0,1,0,1,0,0,1,1,Home
23,2022/2023,Chelsea,Newcastle,1-1,0-0,1-1,"40,130",15:30,1,1,0,0,1,1,2,0,2,Draw
24,2022/2023,Arsenal,Wolves,3-0,2-0,5-0,"60,095",15:30,3,0,2,0,5,0,3,2,5,Home
25,2022/2023,Aston Villa,Brighton,2-1,0-0,2-1,"42,034",15:30,2,1,0,0,2,1,3,0,3,Home
26,2022/2023,Newcastle,Leicester City,0-0,0-0,0-0,"52,152",19:00,0,0,0,0,0,0,0,0,0,Draw
27,2022/2023,Man City,Chelsea,1-0,0-0,1-0,"53,490",15:00,1,0,0,0,1,0,1,0,1,Home
28,2022/2023,Brighton,Southampton,2-0,1-1,3-1,"31,507",13:00,2,0,1,1,3,1,2,2,4,Home
29,2022/2023,West Ham,Leeds Utd,1-1,2-0,3-1,"62,478",12:30,1,1,2,0,3,1,2,2,4,Home
30,2022/2023,Notts Forest,Arsenal,1-0,0-0,1-0,"29,514",16:30,1,0,0,0,1,0,1,0,1,Home
31,2022/2023,Liverpool,Aston Villa,0-1,1-0,1-1,"53,306",14:00,0,1,1,0,1,1,1,1,2,Draw
32,2022/2023,Fulham,Crystal Palace,1-1,1-1,2-2,"24,356",14:00,1,1,1,1,2,2,2,2,4,Draw
33,2022/2023,Wolves,Everton,1-0,0-1,1-1,"31,684",14:00,1,0,0,1,1,1,1,1,2,Draw
34,2022/2023,Bournemouth,Man Utd,0-1,0-0,0-1,"10,240",14:00,0,1,0,0,0,1,1,0,1,Away
35,2022/2023,Arsenal,Brighton,0-0,0-3,0-3,"60,139",15:30,0,0,0,3,0,3,0,3,3,Away
36,Brentford - West Ham,Brentford,West Ham,2-0,0-0,2-0,"17,075",13:00,2,0,0,0,2,0,2,0,2,Home
37,2022/2023,Tottenham,Brentford,1-0,0-3,1-3,"61,514",11:30,1,0,0,3,1,3,1,3,4,Away
38,2022/2023,Leicester City,Liverpool,0-2,0-1,0-3,"32,225",19:00,0,2,0,1,0,3,2,1,3,Away
39,2022/2023,Everton,Man City,0-2,0-1,0-3,"39,376",13:00,0,2,0,1,0,3,2,1,3,Away
40,2022/2023,Aston Villa,Tottenham,1-0,1-1,2-1,"42,164",14:00,1,0,1,1,2,1,1,2,3,Home
41,2022/2023,Crystal Palace,Bournemouth,1-0,1-0,2-0,"25,034",14:00,1,0,1,0,2,0,1,1,2,Home
42,2022/2023,Southampton,Fulham,0-0,0-2,0-2,"28,978",14:00,0,0,0,2,0,2,0,2,2,Away
43,2022/2023,Man Utd,Wolves,1-0,1-0,2-0,"73,570",14:00,1,0,1,0,2,0,1,1,2,Home
44,2022/2023,Chelsea,Notts Forest,0-1,2-1,2-2,"40,030",14:00,0,1,2,1,2,2,1,3,4,Draw
45,2022/2023,Leeds Utd,Newcastle,1-1,1-1,2-2,"36,955",11:30,1,1,1,1,2,2,2,2,4,Draw
46,2022/2023,Notts Forest,Southampton,3-1,1-2,4-3,"29,154",19:00,3,1,1,2,4,3,4,3,7,Home
47,2022/2023,Brighton,Everton,0-3,1-2,1-5,"31,567",16:30,0,3,1,2,1,5,3,3,6,Away
48,2022/2023,Fulham,Leicester City,3-0,2-3,5-3,"24,442",14:00,3,0,2,3,5,3,3,5,8,Home
49,2022/2023,West Ham,Man Utd,1-0,0-0,1-0,"62,477",18:00,1,0,0,0,1,0,1,0,1,Home
50,2022/2023,Newcastle,Arsenal,0-1,0-1,0-2,"50,267",15:30,0,1,0,1,0,2,1,1,2,Away
51,2022/2023,Tottenham,Crystal Palace,1-0,0-0,1-0,"61,093",14:00,1,0,0,0,1,0,1,0,1,Home
52,2022/2023,Man City,Leeds Utd,2-0,0-1,2-1,"53,406",14:00,2,0,0,1,2,1,2,1,3,Home
53,2022/2023,Liverpool,Brentford,1-0,0-0,1-0,"52,838",16:30,1,0,0,0,1,0,1,0,1,Home
54,2022/2023,Bournemouth,Chelsea,1-1,0-2,1-3,"10,357",14:00,1,1,0,2,1,3,2,2,4,Away
55,2022/2023,Wolves,Aston Villa,1-0,0-0,1-0,"31,641",14:00,1,0,0,0,1,0,1,0,1,Home
56,2022/2023,Arsenal,Chelsea,3-0,0-1,3-1,"60,144",19:00,3,0,0,1,3,1,3,1,4,Home
57,2022/2023,Leicester City,Everton,2-1,0-1,2-2,"32,173",19:00,2,1,0,1,2,2,3,1,4,Draw
58,2022/2023,Liverpool,Tottenham,3-1,1-2,4-3,"53,275",15:30,3,1,1,2,4,3,4,3,7,Home
59,2022/2023,Man Utd,Aston Villa,1-0,0-0,1-0,"73,592",13:00,1,0,0,0,1,0,1,0,1,Home
60,2022/2023,Newcastle,Southampton,0-1,3-0,3-1,"52,234",13:00,0,1,3,0,3,1,1,3,4,Home
61,2022/2023,Fulham,Man City,1-2,0-0,1-2,"24,498",13:00,1,2,0,0,1,2,3,0,3,Away
62,2022/2023,Bournemouth,Leeds Utd,2-1,2-0,4-1,"10,434",13:00,2,1,2,0,4,1,3,2,5,Home
63,Brentford - Notts Forest,Brentford,Notts Forest,0-1,2-0,2-1,"17,080",14:00,0,1,2,0,2,1,1,2,3,Home
64,2022/2023,Brighton,Wolves,4-0,2-0,6-0,"31,584",14:00,4,0,2,0,6,0,4,2,6,Home
65,2022/2023,Crystal Palace,West Ham,3-2,1-1,4-3,"25,148",11:30,3,2,1,1,4,3,5,2,7,Home
66,2022/2023,Tottenham,Man Utd,0-2,2-0,2-2,"61,586",19:15,0,2,2,0,2,2,2,2,4,Draw
67,2022/2023,Man City,Arsenal,2-0,2-1,4-1,"53,482",19:00,2,0,2,1,4,1,2,3,5,Home
68,2022/2023,Chelsea,Brentford,0-1,0-1,0-2,"39,929",18:45,0,1,0,1,0,2,1,1,2,Away
69,2022/2023,Everton,Newcastle,0-1,1-3,1-4,"39,248",18:45,0,1,1,3,1,4,1,4,5,Away
70,2022/2023,Southampton,Bournemouth,0-0,0-1,0-1,"30,414",18:45,0,0,0,1,0,1,0,1,1,Away
71,2022/2023,West Ham,Liverpool,1-1,0-1,1-2,"62,473",18:45,1,1,0,1,1,2,2,1,3,Away
72,2022/2023,Notts Forest,Brighton,1-1,2-0,3-1,"28,808",18:30,1,1,2,0,3,1,2,2,4,Home
73,2022/2023,Leeds Utd,Leicester City,1-0,0-1,1-1,"36,666",19:00,1,0,0,1,1,1,1,1,2,Draw
74,2022/2023,Aston Villa,Fulham,1-0,0-0,1-0,"41,046",18:45,1,0,0,0,1,0,1,0,1,Home
75,2022/2023,Wolves,Crystal Palace,1-0,1-0,2-0,"30,294",18:30,1,0,1,0,2,0,1,1,2,Home
76,2022/2023,Man Utd,Chelsea,2-0,2-1,4-1,"73,561",19:00,2,0,2,1,4,1,2,3,5,Home
77,2022/2023,Brighton,Man City,1-1,0-0,1-1,"31,388",19:00,1,1,0,0,1,1,2,0,2,Draw
