,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
0,2020/2021,Fiorentina,Torino,0-0,1-0,1-0,Unknown,16:00,0,0,1,0,1,0,0,1,1,Home
1,2020/2021,Atalanta,Sassuolo,2-0,3-1,5-1,Unknown,14:00,2,0,3,1,5,1,2,4,6,Home
2,2020/2021,Cagliari,Napoli,0-1,1-3,1-4,Unknown,14:00,0,1,1,3,1,4,1,4,5,Away
3,2020/2021,Roma,Sampdoria,0-0,1-0,1-0,Unknown,14:00,0,0,1,0,1,0,0,1,1,Home
4,2020/2021,Spezia,Genoa,1-1,0-1,1-2,Unknown,19:45,1,1,0,1,1,2,2,1,3,Away
5,2020/2021,Inter,Crotone,2-2,4-0,6-2,Unknown,11:30,2,2,4,0,6,2,4,4,8,Home
6,2020/2021,Sampdoria,Sassuolo,0-1,2-2,2-3,Unknown,19:45,0,1,2,2,2,3,1,4,5,Away
7,2020/2021,Udinese,Benevento,0-1,0-1,0-2,Unknown,19:45,0,1,0,1,0,2,1,1,2,Away
8,2020/2021,Milan,Lazio,2-1,1-1,3-2,Unknown,19:45,2,1,1,1,3,2,3,2,5,Home
9,2020/2021,Bologna,Atalanta,0-2,2-0,2-2,Unknown,19:45,0,2,2,0,2,2,2,2,4,Draw
10,2020/2021,Parma,Torino,0-1,0-2,0-3,Unknown,14:00,0,1,0,2,0,3,1,2,3,Away
11,2020/2021,Roma,Cagliari,1-0,2-2,3-2,Unknown,19:45,1,0,2,2,3,2,1,4,5,Home
12,2020/2021,Verona,Inter,0-0,1-2,1-2,Unknown,17:30,0,0,1,2,1,2,0,3,3,Away
13,2021/2022,Salernitana,Udinese,0-3,0-1,0-4,"29,739",19:00,0,3,0,1,0,4,3,1,4,Away
14,2021/2022,Venezia,Cagliari,0-0,0-0,0-0,"5,654",19:00,0,0,0,0,0,0,0,0,0,Draw
15,2021/2022,Inter,Sampdoria,0-0,3-0,3-0,"71,109",16:00,0,0,3,0,3,0,0,3,3,Home
16,2020/2021,Juventus,Fiorentina,0-1,0-2,0-3,Unknown,19:45,0,1,0,2,0,3,1,2,3,Away
17,2020/2021,Crotone,Parma,2-0,0-1,2-1,Unknown,17:30,2,0,0,1,2,1,2,1,3,Home
18,2020/2021,Napoli,Torino,0-0,1-1,1-1,Unknown,19:45,0,0,1,1,1,1,0,2,2,Draw
19,2021/2022,Sassuolo,Milan,0-3,0-0,0-3,"21,584",16:00,0,3,0,0,0,3,3,0,3,Away
20,2021/2022,Spezia,Napoli,0-3,0-0,0-3,"10,000",10:30,0,3,0,0,0,3,3,0,3,Away
21,2021/2022,Fiorentina,Juventus,1-0,1-0,2-0,"34,831",18:45,1,0,1,0,2,0,1,1,2,Home
22,2021/2022,Atalanta,Empoli,0-0,0-1,0-1,"17,654",18:45,0,0,0,1,0,1,0,1,1,Away
23,2021/2022,Lazio,Verona,2-2,1-1,3-3,"50,000",18:45,2,2,1,1,3,3,4,2,6,Draw
24,2021/2022,Genoa,Bologna,0-0,0-1,0-1,"17,768",15:15,0,0,0,1,0,1,0,1,1,Away
25,2021/2022,Torino,Roma,0-2,0-1,0-3,"16,730",18:45,0,2,0,1,0,3,2,1,3,Away
