,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
0,2020/2021,Rizespor,Fenerbahçe,0-0,1-2,1-2,Unknown,17:00,0,0,1,2,1,2,0,3,3,Away
1,2020/2021,Denizlispor,Ankaragücü,0-2,1-0,1-2,Unknown,13:00,0,2,1,0,1,2,2,1,3,Away
2,2020/2021,Rizespor,Antalyaspor,1-0,1-1,2-1,Unknown,16:00,1,0,1,1,2,1,1,2,3,Home
3,2020/2021,Gaziantep,Alanyaspor,2-1,1-0,3-1,Unknown,10:30,2,1,1,0,3,1,3,1,4,Home
4,2020/2021,Malatyaspor,Erzurumspor,0-1,1-2,1-3,Unknown,13:00,0,1,1,2,1,3,1,3,4,Away
5,2020/2021,Trabzonspor,Galatasaray,0-1,0-1,0-2,Unknown,16:00,0,1,0,1,0,2,1,1,2,Away
6,Ankaragücü - Beşiktaş,Ankaragücü,Beşiktaş,0-0,0-1,0-1,Unknown,16:00,0,0,0,1,0,1,0,1,1,Away
7,Göztepe - Karagümrük,Göztepe,Karagümrük,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
8,Sivasspor - Gençlerbirliği,Sivasspor,Gençlerbirliği,1-0,2-1,3-1,Unknown,13:00,1,0,2,1,3,1,1,3,4,Home
9,2020/2021,Kayserispor,Konyaspor,1-0,0-2,1-2,Unknown,13:00,1,0,0,2,1,2,1,2,3,Away
10,2020/2021,Alanyaspor,Malatyaspor,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
11,2020/2021,Kasımpaşa,Gaziantep,0-2,0-2,0-4,Unknown,16:00,0,2,0,2,0,4,2,2,4,Away
12,2020/2021,Fenerbahçe,Başakşehir,1-1,3-0,4-1,Unknown,16:00,1,1,3,0,4,1,2,3,5,Home
13,2020/2021,Erzurumspor,Denizlispor,0-1,1-1,1-2,Unknown,13:00,0,1,1,1,1,2,1,2,3,Away
14,Ankaragücü - Karagümrük,Ankaragücü,Karagümrük,1-2,1-0,2-2,Unknown,10:30,1,2,1,0,2,2,3,1,4,Draw
15,2020/2021,Rizespor,Göztepe,1-0,2-2,3-2,Unknown,13:00,1,0,2,2,3,2,1,4,5,Home
16,2022/2023,İstanbulspor,Ümraniyespor,1-0,3-0,4-0,Unknown,17:00,1,0,3,0,4,0,1,3,4,Home
17,2022/2023,Beşiktaş,Konyaspor,2-1,1-2,3-3,Unknown,17:00,2,1,1,2,3,3,3,3,6,Draw
18,Ankaragücü - Adana DS,Ankaragücü,Adana DS,0-1,1-1,1-2,Unknown,17:00,0,1,1,1,1,2,1,2,3,Away
19,Giresunspor - Antalyaspor,Giresunspor,Antalyaspor,1-0,1-0,2-0,Unknown,17:00,1,0,1,0,2,0,1,1,2,Home
20,Galatasaray - Fenerbahçe,Galatasaray,Fenerbahçe,1-0,2-0,3-0,Unknown,16:00,1,0,2,0,3,0,1,2,3,Home
21,2022/2023,Başakşehir,Trabzonspor,1-0,2-1,3-1,Unknown,17:00,1,0,2,1,3,1,1,3,4,Home
22,2022/2023,Ümraniyespor,Giresunspor,0-1,0-0,0-1,Unknown,16:00,0,1,0,0,0,1,1,0,1,Away
23,2022/2023,Karagümrük,Kasımpaşa,1-0,2-0,3-0,Unknown,14:00,1,0,2,0,3,0,1,2,3,Home
24,2021/2022,Trabzonspor,Adana DS,1-0,1-0,2-0,Unknown,13:00,1,0,1,0,2,0,1,1,2,Home
25,Sivasspor - Kayserispor,Sivasspor,Kayserispor,1-1,0-0,1-1,"3,984",14:00,1,1,0,0,1,1,2,0,2,Draw
26,2022/2023,İstanbulspor,Adana DS,0-1,0-1,0-2,Unknown,17:00,0,1,0,1,0,2,1,1,2,Away
27,2022/2023,Kayserispor,Ankaragücü,0-1,0-0,0-1,Unknown,16:00,0,1,0,0,0,1,1,0,1,Away
28,2022/2023,Kasımpaşa,Beşiktaş,0-2,2-3,2-5,Unknown,16:00,0,2,2,3,2,5,2,5,7,Away
29,2022/2023,Konyaspor,Karagümrük,1-1,0-0,1-1,Unknown,13:00,1,1,0,0,1,1,2,0,2,Draw
30,Adana DS - Başakşehir,Adana DS,Başakşehir,1-2,1-1,2-3,Unknown,16:00,1,2,1,1,2,3,3,2,5,Away
31,Sivasspor - Konyaspor,Sivasspor,Konyaspor,1-0,0-0,1-0,Unknown,17:00,1,0,0,0,1,0,1,0,1,Home
32,2022/2023,Trabzonspor,Alanyaspor,4-1,1-0,5-1,Unknown,16:00,4,1,1,0,5,1,5,1,6,Home
33,Ankaragücü - Galatasaray,Ankaragücü,Galatasaray,1-2,0-2,1-4,Unknown,17:00,1,2,0,2,1,4,3,2,5,Away
34,2022/2023,Fenerbahçe,Antalyaspor,1-0,1-0,2-0,Unknown,17:00,1,0,1,0,2,0,1,1,2,Home
35,2022/2023,Alanyaspor,Kasımpaşa,0-0,1-3,1-3,Unknown,17:00,0,0,1,3,1,3,0,4,4,Away
36,Giresunspor - Trabzonspor,Giresunspor,Trabzonspor,0-2,2-2,2-4,Unknown,17:00,0,2,2,2,2,4,2,4,6,Away
37,2022/2023,Karagümrük,Kayserispor,2-0,0-0,2-0,Unknown,17:00,2,0,0,0,2,0,2,0,2,Home
38,Adana DS - Göztepe,Adana DS,Göztepe,5-0,2-0,7-0,Unknown,16:00,5,0,2,0,7,0,5,2,7,Home
39,Hatayspor - Giresunspor,Hatayspor,Giresunspor,1-1,3-0,4-1,Unknown,16:00,1,1,3,0,4,1,2,3,5,Home
40,2021/2022,Karagümrük,Alanyaspor,0-1,0-0,0-1,Unknown,13:00,0,1,0,0,0,1,1,0,1,Away
41,2021/2022,Başakşehir,Trabzonspor,3-0,0-1,3-1,Unknown,13:00,3,0,0,1,3,1,3,1,4,Home
42,2021/2022,Beşiktaş,Konyaspor,0-1,1-0,1-1,Unknown,16:00,0,1,1,0,1,1,1,1,2,Draw
43,2021/2022,Malatyaspor,Fenerbahçe,0-1,0-4,0-5,Unknown,16:00,0,1,0,4,0,5,1,4,5,Away
44,2021/2022,Antalyaspor,Galatasaray,1-0,0-1,1-1,Unknown,17:00,1,0,0,1,1,1,1,1,2,Draw
45,2021/2022,Gaziantep,Rizespor,1-0,1-0,2-0,Unknown,17:00,1,0,1,0,2,0,1,1,2,Home
46,Galatasaray - Adana DS,Galatasaray,Adana DS,1-1,2-1,3-2,Unknown,17:00,1,1,2,1,3,2,2,3,5,Home
47,2021/2022,Sivasspor,Kayserispor,1-0,1-1,2-1,Unknown,13:00,1,0,1,1,2,1,1,2,3,Home
48,Altay - Kasımpaşa,Altay,Kasımpaşa,1-2,1-2,2-4,Unknown,13:00,1,2,1,2,2,4,3,3,6,Away
49,2021/2022,Rizespor,Sivasspor,1-1,0-1,1-2,Unknown,17:00,1,1,0,1,1,2,2,1,3,Away
50,2021/2022,Fenerbahçe,Karagümrük,0-0,0-0,0-0,Unknown,16:00,0,0,0,0,0,0,0,0,0,Draw
51,2021/2022,Alanyaspor,Gaziantep,0-0,3-0,3-0,Unknown,16:00,0,0,3,0,3,0,0,3,3,Home
52,Giresunspor - Başakşehir,Giresunspor,Başakşehir,0-1,1-0,1-1,Unknown,16:00,0,1,1,0,1,1,1,1,2,Draw
